material_id,pretty_formula,full_formula,unit_cell_formula,density,spacegroup.crystal_system,volume,band_gap,formation_energy_per_atom,e_above_hull,z_A,z_B,z_X,row_A,row_B,row_X,grp_A,grp_B,grp_X,atom_mass_A,atom_mass_B,atom_mass_X,mol_vol_A,mol_vol_B,mol_vol_X,ion_rad_A,ion_rad_B,ion_rad_X,cov_rad_A,cov_rad_B,cov_rad_X,vdw_rad_A,vdw_rad_B,vdw_rad_X,x_A,x_B,x_X,ea_A,ea_B,ea_X,k_A,k_B,k_X,val_A,val_B,val_X,bp_A,bp_B,bp_X,mp_A,mp_B,mp_X,heat_fus_A,heat_fus_B,heat_fus_X,ie_A,ie_B,ie_X,a,b,c,alpha,beta,gamma,nA,nB,nX,rA,rB,rX,mu,t,tau
mp-10250,BaLiF3,Ba1Li1F3,"{'Ba': 1.0, 'Li': 1.0, 'F': 3.0}",5.020979880537225,0,66.56179274997322,6.5716,-3.7672968750473337,0.0148238980000003,56,3,9,6,2,2,2,1,17,137.327,6.941,18.9984032,38.16,13.02,11.2,1.49,0.9,0.705,2.06,1.3,0.6,303,212,146,0.89,0.98,3.98,13.954,59.633,328.165,18.0,85.0,0.0277,2.0,1.0,1.0,2143.0,1615.0,85.03,1000.0,453.69,53.53,8.0,3.0,0.26,502.9,520.0,1681.0,4.052674,4.052674,4.052674,90.0,90.0,90.0,2.0,1.0,-1.0,1.61,0.76,1.33,0.5714285714285714,0.9946860941093063,3.394073057125021
mp-1097061,CaTlF3,Ca1Tl1F3,"{'Ca': 1.0, 'Tl': 1.0, 'F': 3.0}",5.456458649449334,2,91.74087869651436,4.8393,-3.321972458714,0.0180997480000009,20,81,9,4,6,2,2,13,17,40.078,204.3833,18.9984032,26.2,17.22,11.2,1.14,1.3325,0.705,1.74,1.44,0.6,262,260,146,1.01,1.62,3.98,2.37,36.375,328.165,200.0,46.0,0.0277,2.0,3.0,1.0,1757.0,1746.0,85.03,1115.0,577.0,53.53,8.54,4.2,0.26,589.8,589.4,1681.0,4.51086491,4.51086491,4.50862431,89.92703745,89.92703745,89.96285261,1.0,2.0,-1.0,1.7,1.0,1.33,0.7518796992481203,0.919542294847742,3.533749511257782
mp-998150,CaTlF3,Ca1Tl1F3,"{'Ca': 1.0, 'Tl': 1.0, 'F': 3.0}",5.446106021762052,3,91.915271034279,4.839799999999999,-3.3219133987140004,0.0181588079999999,20,81,9,4,6,2,2,13,17,40.078,204.3833,18.9984032,26.2,17.22,11.2,1.14,1.3325,0.705,1.74,1.44,0.6,262,260,146,1.01,1.62,3.98,2.37,36.375,328.165,200.0,46.0,0.0277,2.0,3.0,1.0,1757.0,1746.0,85.03,1115.0,577.0,53.53,8.54,4.2,0.26,589.8,589.4,1681.0,4.51367471,4.51367471,4.51157,90.0,90.0,90.09062056,1.0,2.0,-1.0,1.7,1.0,1.33,0.7518796992481203,0.919542294847742,3.533749511257782
mp-12262,CsBeF3,Cs4Be4F12,"{'Cs': 4.0, 'Be': 4.0, 'F': 12.0}",3.3970072526399973,3,388.93357937172016,6.6615,-3.4253817598002074,0.0,55,4,9,6,2,2,1,2,17,132.9054519,9.012182,18.9984032,70.94,4.85,11.2,1.81,0.59,0.705,2.38,0.99,0.6,348,198,146,0.79,1.57,3.98,45.505,0.0,328.165,36.0,190.0,0.0277,1.0,2.0,1.0,944.0,2742.0,85.03,301.59,1560.0,53.53,2.09,7.95,0.26,375.7,899.5,1681.0,4.889143,6.130177,12.976862,90.0,90.0,90.0,1.0,2.0,-1.0,1.88,0.45,1.33,0.3383458646616541,1.275175712139785,4.877529088185466
mp-1017555,CsBeF3,Cs1Be1F3,"{'Cs': 1.0, 'Be': 1.0, 'F': 3.0}",5.026563847397926,0,65.71139997579614,5.385,-2.7628294543002068,0.6625523055000002,55,4,9,6,2,2,1,2,17,132.9054519,9.012182,18.9984032,70.94,4.85,11.2,1.81,0.59,0.705,2.38,0.99,0.6,348,198,146,0.79,1.57,3.98,45.505,0.0,328.165,36.0,190.0,0.0277,1.0,2.0,1.0,944.0,2742.0,85.03,301.59,1560.0,53.53,2.09,7.95,0.26,375.7,899.5,1681.0,4.035341,4.035341,4.035341,90.0,90.0,90.0,1.0,2.0,-1.0,1.88,0.45,1.33,0.3383458646616541,1.275175712139785,4.877529088185466
mp-7104,CsCaF3,Cs1Ca1F3,"{'Cs': 1.0, 'Ca': 1.0, 'F': 3.0}",3.970085136030032,0,96.191527088259,7.2341,-3.7414078823002064,0.0,55,20,9,6,4,2,1,2,17,132.9054519,40.078,18.9984032,70.94,26.2,11.2,1.81,1.14,0.705,2.38,1.74,0.6,348,262,146,0.79,1.01,3.98,45.505,2.37,328.165,36.0,200.0,0.0277,1.0,2.0,1.0,944.0,1757.0,85.03,301.59,1115.0,53.53,2.09,8.54,0.26,375.7,589.8,1681.0,4.5819,4.5819,4.5819,90.0,90.0,90.0,1.0,2.0,-1.0,1.88,1.0,1.33,0.7518796992481203,0.974168569789192,3.3081150828654353
mp-8399,CsCdF3,Cs1Cd1F3,"{'Cs': 1.0, 'Cd': 1.0, 'F': 3.0}",5.28437943950953,0,94.99702471329316,3.7494,-2.7297300893002068,0.0,55,48,9,6,5,2,1,12,17,132.9054519,112.411,18.9984032,70.94,13.0,11.2,1.81,1.09,0.705,2.38,1.4,0.6,348,249,146,0.79,1.69,3.98,45.505,0.0,328.165,36.0,97.0,0.0277,1.0,2.0,1.0,944.0,1040.0,85.03,301.59,594.22,53.53,2.09,6.3,0.26,375.7,867.8,1681.0,4.562855,4.562855,4.562855,90.0,90.0,90.0,1.0,2.0,-1.0,1.88,0.95,1.33,0.7142857142857142,0.9955319156179022,3.2992801592625494
mp-556943,CsCoF3,Cs3Co3F9,"{'Cs': 3.0, 'Co': 3.0, 'F': 9.0}",4.7814213516825,6,259.2524122553585,0.0192000000000001,-2.5695580369668733,0.0430082023333344,55,27,9,6,4,2,1,9,17,132.9054519,58.933195,18.9984032,70.94,6.67,11.2,1.81,0.768333333,0.705,2.38,1.18,0.6,348,240,146,0.79,1.88,3.98,45.505,63.873,328.165,36.0,100.0,0.0277,1.0,4.0,1.0,944.0,3200.0,85.03,301.59,1768.0,53.53,2.09,16.2,0.26,375.7,760.4,1681.0,8.4103564,8.4103564,8.41035558,43.8510609,43.8510609,43.85106081,1.0,2.0,-1.0,1.88,0.745,1.33,0.5601503759398496,1.0938856711367795,3.5114375239317708
mp-555302,CsFeF3,Cs6Fe6F18,"{'Cs': 6.0, 'Fe': 6.0, 'F': 18.0}",4.796243831305913,1,510.4873134739285,3.4247,-2.858207783300206,0.0073562927499937,55,26,9,6,4,2,1,8,17,132.9054519,55.845,18.9984032,70.94,7.09,11.2,1.81,0.8525,0.705,2.38,1.24,0.6,348,244,146,0.79,1.83,3.98,45.505,14.569,328.165,36.0,80.0,0.0277,1.0,3.0,1.0,944.0,3134.0,85.03,301.59,1811.0,53.53,2.09,13.8,0.26,375.7,762.5,1681.0,6.30087318,6.30087318,14.847482,90.0,90.0,119.99999136,1.0,2.0,-1.0,1.88,0.78,1.33,0.5864661654135338,1.0757406481558374,3.444886787862623
mp-561947,CsHgF3,Cs1Hg1F3,"{'Cs': 1.0, 'Hg': 1.0, 'F': 3.0}",6.345337230084449,0,102.18920997436048,1.2673,-2.2693423573002067,0.0,55,80,9,6,6,2,1,12,17,132.9054519,200.59,18.9984032,70.94,14.09,11.2,1.81,1.245,0.705,2.38,1.32,0.6,348,247,146,0.79,2.0,3.98,45.505,0.0,328.165,36.0,8.3,0.0277,1.0,2.0,1.0,944.0,629.88,85.03,301.59,234.32,53.53,2.09,2.29,0.26,375.7,1007.1,1681.0,4.675216,4.675216,4.675216,90.0,90.0,90.0,1.0,2.0,-1.0,1.88,1.02,1.33,0.7669172932330827,0.9658777734505605,3.3181983416607475
