test,pred
-1.1109740214279995,-0.9648197892648109
-2.6634951402500007,-2.698894771127831
-3.412489243916666,-3.4781741328030473
-2.829072905714,-2.668195421492075
-1.05513109171875,-1.1778422825922676
-2.907223740083334,-2.903430769477373
-2.538924125416667,-2.6385885767362947
-2.14018794975,-2.1325915127887716
-2.95653025125,-2.9694519332099407
-3.0363551240473328,-2.9956911142639706
-2.687103629916668,-2.6222813295409098
-2.38893834575,-2.1688440754962084
-1.220102975428,-1.2216722632430657
-3.0267423591703686,-3.0009042820960237
-2.418775844416666,-2.3752310920779673
-2.174282177208333,-2.2254416508495938
-3.0348960173370347,-2.996382765864408
-1.3309208357500004,-1.295371640042332
-2.423959916836207,-2.4343137142296754
-2.908472896916667,-2.9225141227041123
-2.2011285333749995,-2.1576550600104207
-2.87624965725,-2.8134698776908817
-2.78139708175,-2.7192975134076716
-3.64815918275,-3.5623217009710393
-1.2816808109882067,-1.2362771247031692
-1.3133763525416675,-1.314351225695039
-3.2115933409166657,-3.1398774301448604
-1.5415553912500002,-1.3905157475930305
-2.988669103416666,-2.891909392299033
-3.216528770416667,-3.203731879929032
-2.5535338027499987,-2.489881455937653
-2.908694976083333,-2.9127278670637917
-1.6211664385560005,-1.6504104857495558
-2.767304245749999,-2.779944161705821
-2.8012537885873194,-2.8628862454728203
-3.06289884675,-3.0954288411811395
-2.0192625653806666,-2.0752549819417805
-0.1458253224062495,0.0005647729244521139
-1.7090506272499997,-1.5659173250364609
-2.1790871734166672,-2.1853145185091707
-3.4253817598002074,-3.132378067291345
-1.7263851434560002,-1.7920188169218343
-2.4741766588730343,-2.5020435290703555
-3.215002750041667,-3.202772024919218
-2.76549179825,-2.788668355476736
-1.7612235442500002,-1.756701705444275
-2.94340801075,-2.9872756152890796
-1.6424346263417846,-1.5175450288622483
-2.7829736742500004,-2.7135662073345985
-2.249794786722666,-2.272822846279546
-3.2146023147500005,-3.199761841638329
-1.0511293482187505,-1.1702927468419175
-1.315228998586207,-1.307474230645764
-2.416740802350001,-2.417528634101597
-3.1436096154166666,-3.067612349363322
-2.72215976275,-2.7237670179624014
-2.538483297875,-2.4592608915732135
-2.814011918214,-2.7984632453739167
-2.93896702575,-3.0213818799808076
-2.8231537230473327,-2.90267042213584
-2.957646867749999,-2.9595818385064923
-1.4167574758750008,-1.3638957660374333
-1.0758032792259995,-1.0050062516186145
-2.299669805714,-2.265140480426947
-3.94113480525,-3.924569990423176
-3.9294746902499993,-3.9458726979426015
-1.415346546375001,-1.3468907394027085
-2.8346814797500004,-2.8402594121262776
-3.5058588298806668,-3.5132538120071817
-3.102073215749999,-3.060989582613927
-1.752979083380667,-1.9209221367027955
-3.4783532393806667,-3.4603560192349283
-3.00500960575,-3.1002193961680855
-2.775134622750001,-2.6635833487438134
-1.6981491197499998,-1.9128827055568975
-2.1814207537499994,-2.3572261392185627
-2.8479775605473336,-2.863328622805791
-2.7626964307499984,-2.731442753746254
-2.6987868547500007,-2.708690061966284
-2.2064682517083343,-2.2995690172596936
-2.8802411287499994,-2.7710544634830465
-2.544994039208333,-2.4978816902326555
-2.61697115275,-2.5867129593003715
-2.086238155083333,-2.0633742213932327
-1.1827058849062495,-1.2386166877296934
-3.250530180749999,-3.2982795502212965
-2.414312599416666,-2.4013344936877488
-2.51938926475,-2.5943691283765515
-1.9242905891309523,-2.0025824914757635
-1.3419279087500002,-1.3963712795795022
-2.698429437564286,-2.679478332328836
-1.28668761375,-1.1788624944779253
-3.04126152125,-3.0454892155105124
-3.07851115475,-3.037169122381783
-1.2507192625,-1.2380204630165537
-1.76824925975,-1.7155526633409122
-1.2542771116250009,-1.2375647797124538
-2.5847744987500008,-2.551025559643532
-2.8841969580833315,-2.861132915300054
-1.1972220770946662,-1.0633985686067797
-0.8043913005203202,-1.0004959365542003
-2.90603223675,-2.9199004068792505
-2.887155058047333,-2.8622044087600274
-2.000661426539701,-2.140290302437961
-3.21510841275,-3.2375401933515535
-1.0560869805416673,-1.0710205896579479
-1.7235750987499998,-1.7006829290723355
-3.69052260463354,-3.7039240282057118
-1.6620608572528734,-1.7019988668209853
-2.691594354416666,-2.6823371555830686
-2.4319005867083336,-2.4650186307961195
-2.366186581749999,-2.3672009128471774
-2.7958119862140003,-2.7621266776474664
-2.85744492375,-2.6866258035516544
-1.076704689089285,-1.0527005484856709
-3.79574822875,-3.743996669366634
-3.21513356575,-3.1877302334848507
-2.5366289454687503,-2.679778716528402
-3.4833123414166662,-3.467371384268239
-2.3054012297187496,-2.2655654586514746
-3.033257101170368,-3.0481306901908165
-1.490385891392667,-1.5243080513721359
-2.7297300893002068,-2.7744321618389995
-2.00194559375,-2.626642415538209
-3.30242995025,-3.155588257827433
-3.55885100475,-3.496910344160799
-3.438564379416667,-3.3823358932204286
-2.0581112742500003,-2.102559175086056
-2.535435674456001,-2.6050649165454685
-2.6865773774642854,-2.6695404744775657
-2.469257071416666,-2.5020666391392448
-2.6893057168755403,-2.788836040757186
-2.3884210932500003,-2.4700730451075734
-2.002744059206368,-2.0878462599479675
-1.95211047975,-1.9282433309787936
-3.11714151975,-3.0361781771168483
-1.5887887697500012,-1.6600544191305073
-1.8999027836,-1.892884282113129
-2.37361266675,-2.3704721245440505
-3.34848136735,-3.2435845387790456
-2.7797904112500005,-2.5968366308968336
-2.789519998336206,-2.76537975474263
-1.7196648024560006,-1.802012199986278
-1.855178094456,-1.8550866208151744
-1.1829764960946665,-1.2170865028872517
-3.00771450775,-2.863750506501877
-3.0618869530473334,-2.995093755181758
-1.385024958456,-1.4824489072265599
-2.3240505292500004,-2.4360814692152397
-3.217715117749999,-3.1922360507255143
-2.217491670956,-2.1285969985859583
-3.5555076317499994,-3.5447553390739097
-2.466957132750001,-2.6504126380907502
-2.8437411650862074,-2.9148760961498126
-1.7536430497499993,-1.8902944433255908
-2.853519125083333,-2.8627226512019552
-2.2692890394642853,-2.2273751909844104
-3.06529732775,-3.0237575604948184
-1.465829451542207,-1.444633295443152
-1.283287357416666,-1.2660853751027195
-3.2112150567500004,-3.1582532602133835
-2.817416684,-2.818750917483136
-2.85229083375,-2.8537480260131263
-3.321972458714,-3.291694283757057
-2.467933844714,-2.4361601789494225
-2.2226410083140005,-2.3327616312853134
-2.88715552975,-2.6775831396283225
-3.07528078375,-3.00577005081046
-1.732899943873035,-1.8468211465729103
-2.9395878483139994,-2.7854509978714446
-2.631484731249999,-2.6300916253473865
-2.718155509397618,-2.5194863330125408
-3.76477594725,-3.764713124181718
-3.1884906067500003,-3.3450714434869453
-2.781528095416667,-2.709084349460223
-3.0295626449203685,-3.029421829400226
-1.6322869542083331,-1.573412351872472
-1.2755351269560002,-1.334636817617433
-2.998476852170368,-2.9958630992503354
-2.63899048375,-2.5772716292958444
-1.4874761622499988,-1.6792070685990539
-2.6437404047499995,-2.611076024741603
-3.7426889060833326,-3.7298576867058126
-2.84014907025,-2.8402594121262776
-2.991485681170368,-2.9893012911005474
-3.127519877416666,-2.9187912010550665
-1.7487852289166668,-1.8312238149898945
-0.81368135875,-1.062849078782861
-3.1104302627500005,-3.103274730910357
-3.707152823916666,-3.673748751927668
-2.016737200831367,-2.1154989884469746
-3.0778412432063686,-3.003731645345027
-2.8468051220473334,-2.862174241832061
-1.2810575950019996,-1.299291944890709
-2.9531907523730334,-3.065260911176902
-2.8272400497499985,-2.8052763763104784
-1.236189892428,-1.1763288636932518
-2.79791814875,-2.8106702998892024
-1.1806338642187495,-0.9711776327668632
-2.2608453187500004,-2.2785793222127495
-3.454981252083333,-3.3322133793294197
-1.2976827495862069,-1.296204598751708
-3.73074494575,-3.7346738496483183
-0.8266545905862067,-0.8668076774005512
-3.4461187044166666,-3.3620821149175715
-1.7782225227499993,-1.7319380084283473
-3.2070573762916665,-3.193513197745051
-3.925785323916666,-3.9547252326085007
-1.7293346328870345,-1.761435368529797
-2.8354007633140004,-2.7673524209334257
