test,pred
-1.1109740214279995,-1.1676243949103222
-2.6634951402500007,-2.6960844253146665
-3.412489243916666,-3.487011651640955
-2.829072905714,-2.8101849348433054
-1.05513109171875,-1.170509543389373
-2.907223740083334,-2.8776933663581237
-2.538924125416667,-2.53405298724361
-2.14018794975,-2.178499666946045
-2.95653025125,-2.9781142095499797
-3.0363551240473328,-2.967798714638958
-2.687103629916668,-2.662629979976318
-2.38893834575,-2.255586472699152
-1.220102975428,-1.189519649293752
-3.0267423591703686,-2.9729928110449984
-2.418775844416666,-2.466456563926161
-2.174282177208333,-2.1882984580614924
-3.0348960173370347,-3.018942357455121
-1.3309208357500004,-1.5307604395880094
-2.423959916836207,-2.3725367294821975
-2.908472896916667,-2.8650489554562313
-2.2011285333749995,-2.1360302352925484
-2.87624965725,-2.7490069056289093
-2.78139708175,-2.7674612236847396
-3.64815918275,-3.590788462230605
-1.2816808109882067,-1.195313814735347
-1.3133763525416675,-1.4226469624959974
-3.2115933409166657,-3.1206318594331894
-1.5415553912500002,-1.449455050278108
-2.988669103416666,-2.9312504487460957
-3.216528770416667,-3.1881762434708496
-2.5535338027499987,-2.5833777718887916
-2.908694976083333,-2.8766460718775044
-1.6211664385560005,-1.6570564753774728
-2.767304245749999,-2.720417530147998
-2.8012537885873194,-2.7728838844164025
-3.06289884675,-3.0751210817185703
-2.0192625653806666,-2.0131697191768883
-0.1458253224062495,-0.05602240229158504
-1.7090506272499997,-1.7522663822245943
-2.1790871734166672,-2.2501448743099526
-3.4253817598002074,-2.9452037594107687
-1.7263851434560002,-1.7407876080218376
-2.4741766588730343,-2.52443136781793
-3.215002750041667,-3.180573611393057
-2.76549179825,-2.7896727222291515
-1.7612235442500002,-1.7281887186264169
-2.94340801075,-2.944989258997308
-1.6424346263417846,-1.5003030672907383
-2.7829736742500004,-2.686027982100503
-2.249794786722666,-2.3424929815612785
-3.2146023147500005,-3.1589786555573087
-1.0511293482187505,-1.1183188074039292
-1.315228998586207,-1.3040568268231243
-2.416740802350001,-2.441489292796046
-3.1436096154166666,-3.097052488813391
-2.72215976275,-2.7253493139044913
-2.538483297875,-2.438579331943921
-2.814011918214,-2.8024550882099115
-2.93896702575,-2.9188738571355177
-2.8231537230473327,-2.8388530676574493
-2.957646867749999,-2.865978074222197
-1.4167574758750008,-1.303908388119226
-1.0758032792259995,-1.1327623312399484
-2.299669805714,-2.2963574415652883
-3.94113480525,-3.884167711806201
-3.9294746902499993,-3.975350765152463
-1.415346546375001,-1.3734294388201724
-2.8346814797500004,-2.857857177509415
-3.5058588298806668,-3.454825889483898
-3.102073215749999,-3.0845953158824093
-1.752979083380667,-1.7399215396674326
-3.4783532393806667,-3.5039523687704284
-3.00500960575,-3.2925830002441328
-2.775134622750001,-2.7391713394094395
-1.6981491197499998,-2.5128395933199426
-2.1814207537499994,-2.356601956881774
-2.8479775605473336,-2.851676031890248
-2.7626964307499984,-2.7278157478021643
-2.6987868547500007,-2.4891806825530822
-2.2064682517083343,-2.2513801275131806
-2.8802411287499994,-2.8513264129491707
-2.544994039208333,-2.443094058316665
-2.61697115275,-2.7017374758776818
-2.086238155083333,-2.0662740419534087
-1.1827058849062495,-1.3778327569087314
-3.250530180749999,-3.204430819006667
-2.414312599416666,-2.412174801619512
-2.51938926475,-2.3279371872216967
-1.9242905891309523,-1.9447339441002318
-1.3419279087500002,-1.4640883093579926
-2.698429437564286,-2.6027696804160927
-1.28668761375,-1.1885283519730778
-3.04126152125,-3.132653013693265
-3.07851115475,-3.0768255630181742
-1.2507192625,-1.2436619603698156
-1.76824925975,-1.6817729685657905
-1.2542771116250009,-1.2919422453086558
-2.5847744987500008,-2.5342439138673445
-2.8841969580833315,-2.858608938563428
-1.1972220770946662,-1.07425876622942
-0.8043913005203202,-0.7131178996199266
-2.90603223675,-2.927594046883338
-2.887155058047333,-2.8269948393634587
-2.000661426539701,-2.1571860673191225
-3.21510841275,-3.0893812054256298
-1.0560869805416673,-1.0549508682142856
-1.7235750987499998,-1.5725239135359064
-3.69052260463354,-3.7725087144109053
-1.6620608572528734,-1.6608670957529679
-2.691594354416666,-2.5829079194693527
-2.4319005867083336,-2.3932446233415177
-2.366186581749999,-2.390280362230539
-2.7958119862140003,-2.7324038989848813
-2.85744492375,-2.865677260905609
-1.076704689089285,-1.1903800261219493
-3.79574822875,-3.6946578362925355
-3.21513356575,-3.2191244949581623
-2.5366289454687503,-2.4613190685253823
-3.4833123414166662,-3.4904510959222064
-2.3054012297187496,-2.207306514511801
-3.033257101170368,-2.9855059543603093
-1.490385891392667,-1.4760353875044403
-2.7297300893002068,-2.739510686345579
-2.00194559375,-2.418607542116519
-3.30242995025,-3.173752931093087
-3.55885100475,-3.4564525508996344
-3.438564379416667,-3.3415188999599894
-2.0581112742500003,-2.274338014284647
-2.535435674456001,-2.500075727974519
-2.6865773774642854,-2.6547273514769625
-2.469257071416666,-2.5522227835073523
-2.6893057168755403,-2.6877568214769285
-2.3884210932500003,-2.41811383452247
-2.002744059206368,-2.054994179643795
-1.95211047975,-1.943381549931408
-3.11714151975,-3.0186975737337436
-1.5887887697500012,-1.583642188569065
-1.8999027836,-1.9411207982698684
-2.37361266675,-2.38460294608724
-3.34848136735,-3.2748243605711305
-2.7797904112500005,-2.7045351331404874
-2.789519998336206,-2.80225359293328
-1.7196648024560006,-1.7649676980491655
-1.855178094456,-1.847851701139912
-1.1829764960946665,-1.2652129924296038
-3.00771450775,-2.8684187423858876
-3.0618869530473334,-2.869392124559402
-1.385024958456,-1.4509088817955154
-2.3240505292500004,-2.369415214617897
-3.217715117749999,-3.20665977593174
-2.217491670956,-2.1151933924643957
-3.5555076317499994,-3.5194813984007753
-2.466957132750001,-2.804079896767959
-2.8437411650862074,-2.7556402711254435
-1.7536430497499993,-1.8399829439763682
-2.853519125083333,-2.8729988988759056
-2.2692890394642853,-2.113526853984989
-3.06529732775,-3.0320322236591695
-1.465829451542207,-1.6060514555215992
-1.283287357416666,-1.2487834072328803
-3.2112150567500004,-3.1226805076141586
-2.817416684,-2.8435148718352288
-2.85229083375,-3.082167444034132
-3.321972458714,-3.320060066937952
-2.467933844714,-2.5066495565186258
-2.2226410083140005,-2.2977793173501984
-2.88715552975,-2.7969209904373726
-3.07528078375,-3.045031788684231
-1.732899943873035,-1.8362390087479226
-2.9395878483139994,-2.925312123223348
-2.631484731249999,-2.6150994027410404
-2.718155509397618,-2.550129391647407
-3.76477594725,-3.7554480722209957
-3.1884906067500003,-3.3299172198915934
-2.781528095416667,-2.6305765950992206
-3.0295626449203685,-3.013317423004985
-1.6322869542083331,-1.6208686352337711
-1.2755351269560002,-1.2616447765954915
-2.998476852170368,-3.0097372986914004
-2.63899048375,-2.606661834929755
-1.4874761622499988,-1.72677671437695
-2.6437404047499995,-2.3767214146637206
-3.7426889060833326,-3.640263684923858
-2.84014907025,-2.8580589483995786
-2.991485681170368,-2.780997860496693
-3.127519877416666,-2.9156718096082077
-1.7487852289166668,-1.7876302361776795
-0.81368135875,-1.1083051125251389
-3.1104302627500005,-3.0318103776335885
-3.707152823916666,-3.6706911575519223
-2.016737200831367,-2.01449534495473
-3.0778412432063686,-2.84915706547672
-2.8468051220473334,-2.826359536657778
-1.2810575950019996,-1.2580185208731223
-2.9531907523730334,-2.9530325509366193
-2.8272400497499985,-2.778780064343009
-1.236189892428,-1.0925608774257827
-2.79791814875,-2.818908635843419
-1.1806338642187495,-1.1800784558437591
-2.2608453187500004,-2.381472436004749
-3.454981252083333,-3.4257424841558204
-1.2976827495862069,-1.3172136590572292
-3.73074494575,-3.7108186010727833
-0.8266545905862067,-0.7871537807718921
-3.4461187044166666,-3.3319517701437786
-1.7782225227499993,-1.608661784413256
-3.2070573762916665,-3.169155492174427
-3.925785323916666,-3.892466886315069
-1.7293346328870345,-1.6846144069196225
-2.8354007633140004,-2.7605761524997705
-1.1913495085310348,-1.244315222853885
-3.598604264749999,-3.5859053390048796
-1.5528136185560002,-1.8162683436097573
-3.822132465083334,-3.8387185229448813
-2.0577786194166663,-2.2493197719728206
-2.03898967975,-2.175699911227383
-2.1653193400833333,-2.4091861331184248
-3.1430932257499995,-3.1463421310327533
-2.42232763925,-2.429736436683991
-3.786610296916666,-3.733832795550978
-3.65415722475,-3.5584518432726377
-1.0984805274402845,-0.8319567812335741
-3.728057979750001,-3.7085865315645052
-3.571795695349999,-3.5222107253204475
-2.73471841975,-2.5664070170640625
-2.68632445475,-2.595228562625088
-3.522414344749999,-3.577139606300127
-3.0011472485703674,-2.9826482439713846
-2.975991251170369,-3.0162120458350814
-2.31554568525,-2.418557541944365
-2.763687719214,-2.7221881881875754
-2.65421097325,-2.6278922834503184
-3.4867550467500004,-3.4653864286553486
-3.90564214425,-3.926399597454656
-1.512666917326,-1.5043482046812742
-1.7283663744560005,-1.7430746060470643
-1.818497824373034,-1.8108180422505797
-1.0975185280000002,-1.1220030914794719
-2.159038973416666,-2.117193538468816
-2.862382010847333,-2.806959124703454
-2.009359308416668,-2.083084329234572
-2.8079864010473328,-2.9520685013211097
-1.7964006757499988,-1.910050152812382
-3.6466289834166665,-3.7163933374996927
-0.8327725365862069,-0.7864686075301118
-2.59996960075,-2.5394437149126303
-2.61383652225,-2.6356144377656174
-2.6469012922142867,-2.615001687852515
-1.4618282964687497,-1.4343949340100721
-1.7821943750416671,-1.917361108819605
-1.0598267540977016,-1.1537685025706292
-3.2174992717916666,-3.1787712946741045
-2.931989247916666,-2.9018668912461774
-2.1246517197140005,-2.042082358728947
-2.903472738333334,-2.9098905492210645
-1.7994483715422072,-1.7365231391047529
-2.166666672250001,-2.225040275772803
-2.45811154775,-2.408472485061079
-2.5709952584166667,-2.4469035239676344
-1.846618281714,-1.8992343952324253
-3.700479273416667,-3.7134620194514936
-3.701968378416666,-3.6706911575519223
-1.9544531496,-1.9770247826016136
-3.021434282670368,-3.0085547621852387
-1.129317659586207,-1.0757172976682727
-2.7259952141230337,-2.7466537103778585
-2.619368267837035,-2.477368653327242
-3.050078991214,-3.061266863865635
-1.1869764378749998,-1.2791452334458924
