test,pred
-1.1109740214279995,-1.1206284143344418
-2.6634951402500007,-2.665989232527162
-3.412489243916666,-3.435695812130795
-2.829072905714,-2.775837960439984
-1.05513109171875,-1.2471292812092534
-2.907223740083334,-2.8395555132296453
-2.538924125416667,-2.5058646263266113
-2.14018794975,-2.235123253113929
-2.95653025125,-3.0368029646442007
-3.0363551240473328,-2.912537642724939
-2.687103629916668,-2.590405074820557
-2.38893834575,-2.4261148820975023
-1.220102975428,-1.1552604292034105
-3.0267423591703686,-2.9359877821511358
-2.418775844416666,-2.353230752515853
-2.174282177208333,-2.261222796628949
-3.0348960173370347,-2.9629982343244006
-1.3309208357500004,-1.6675617654570207
-2.423959916836207,-2.505753400798715
-2.908472896916667,-2.986682770819239
-2.2011285333749995,-2.2104839177104236
-2.87624965725,-2.754409830227397
-2.78139708175,-2.672749487295714
-3.64815918275,-3.6090354301455423
-1.2816808109882067,-1.209463885918527
-1.3133763525416675,-1.3184361702301557
-3.2115933409166657,-3.0571878759283404
-1.5415553912500002,-1.559605236639867
-2.988669103416666,-2.9823536915780986
-3.216528770416667,-3.158666677211436
-2.5535338027499987,-2.500365586980376
-2.908694976083333,-2.8102444302284266
-1.6211664385560005,-1.633142457082626
-2.767304245749999,-2.6845537862385425
-2.8012537885873194,-2.715967505571196
-3.06289884675,-3.0684231752863234
-2.0192625653806666,-1.9260402237807044
-0.1458253224062495,-0.41041597163567245
-1.7090506272499997,-1.4537384427151692
-2.1790871734166672,-2.232909056475773
-3.4253817598002074,-2.9217648750561684
-1.7263851434560002,-1.6776729075405679
-2.4741766588730343,-2.6582329426092075
-3.215002750041667,-3.158666677211436
-2.76549179825,-2.8362786701468017
-1.7612235442500002,-1.7707239911613815
-2.94340801075,-3.0385200886305754
-1.6424346263417846,-1.6421799400410924
-2.7829736742500004,-2.672749487295714
-2.249794786722666,-2.404937695905359
-3.2146023147500005,-3.099555496203693
-1.0511293482187505,-1.2373765820800748
-1.315228998586207,-1.2573018728882857
-2.416740802350001,-2.500427713713476
-3.1436096154166666,-3.0658798215022984
-2.72215976275,-2.616669160712849
-2.538483297875,-2.5378211782778535
-2.814011918214,-2.753366984574949
-2.93896702575,-3.0221118449827378
-2.8231537230473327,-2.7958186091366537
-2.957646867749999,-2.8913946920652753
-1.4167574758750008,-1.2872883100739796
-1.0758032792259995,-1.0666540990670128
-2.299669805714,-2.079100902749739
-3.94113480525,-3.844566141688482
-3.9294746902499993,-3.9292047324329626
-1.415346546375001,-1.2930319238166064
-2.8346814797500004,-2.851000632602226
-3.5058588298806668,-3.3918180171720476
-3.102073215749999,-3.0925833103070435
-1.752979083380667,-1.7786440457487211
